order id,product id,price,quantity
35,29,26.34,1
35,30,45.32,1
34,28,2.99,1
33,27,325.43,1
32,31,132.54,1
32,35,37.44,1
31,31,132.54,2
30,30,45.32,1
29,29,26.34,1
28,28,2.99,1
27,27,325.43,3
26,35,37.44,1
25,34,43.21,1
24,33,267.33,1
23,32,5.99,1
22,31,132.54,1
22,33,267.33,1
21,35,37.44,1
20,34,43.21,1
19,33,267.33,1
18,32,5.99,1
17,31,132.54,2
16,30,45.32,2
16,34,43.21,1
15,29,26.34,1
14,28,2.99,1
13,27,325.43,1
12,32,5.99,2
12,35,37.44,2
11,34,43.21,1
10,33,267.33,1
9,32,5.99,1
9,35,37.44,1
8,31,132.54,4
7,30,45.32,1
6,29,26.34,1
5,28,2.99,1
4,27,325.43,1
3,33,267.33,1
2,32,5.99,1
1,31,132.54,2
